Area name,Mother tongue name,Total
INDIA,ASSAMESE,15311351
INDIA,BENGALI,97237669
INDIA,BODO,1482929
INDIA,DOGRI,2596767
INDIA,GUJARATI,55492554
INDIA,HINDI,528347193
INDIA,KANNADA,43706512
INDIA,KASHMIRI,6797587
INDIA,KONKANI,2256502
INDIA,MAITHILI,13583464
INDIA,MALAYALAM,34838819
INDIA,MANIPURI,1761079
INDIA,MARATHI,83026680
INDIA,NEPALI,2926168
INDIA,ODIA,37521324
INDIA,PUNJABI,33124726
INDIA,SANSKRIT,24821
INDIA,SANTALI,7368192
INDIA,SINDHI,2772264
INDIA,TAMIL,69026881
INDIA,TELUGU,81127740
INDIA,URDU,50772631
INDIA,ADI,248834
INDIA,AFGHANI/KABULI/PASHTO,21677
INDIA,ANAL,27217
INDIA,ANGAMI,152796
INDIA,AO,260008
INDIA,ARABIC/ARBI,54947
INDIA,BALTI,13774
INDIA,BHILI/BHILODI,10413637
INDIA,BHOTIA,229954
INDIA,BHUMIJ,27506
INDIA,BISHNUPURIYA,79646
INDIA,CHAKHESANG,19846
INDIA,CHAKRU/CHOKRI,91216
INDIA,CHANG,66852
INDIA,COORGI/KODAGU,113857
INDIA,DEORI,32376
INDIA,DIMASA,137184
INDIA,ENGLISH,259678
INDIA,GADABA,40976
INDIA,GANGTE,16542
INDIA,GARO,1145323
INDIA,GONDI,2984453
INDIA,HALABI,766297
INDIA,HALAM,38915
INDIA,HMAR,98988
INDIA,HO,1421418
INDIA,JATAPU,20028
INDIA,JUANG,30378
INDIA,KABUI,122931
INDIA,KARBI/MIKIR,528503
INDIA,KHANDESHI,1860236
INDIA,KHARIA,297614
INDIA,KHASI,1431344
INDIA,KHEZHA,41625
INDIA,KHIEMNUNGAN,61983
INDIA,KHOND/KONDH,155548
INDIA,KINNAURI,83561
INDIA,KISAN,206100
INDIA,KOCH,36434
INDIA,KODA/KORA,47268
INDIA,KOLAMI,128451
INDIA,KOM,15108
INDIA,KONDA,60699
INDIA,KONYAK,244477
INDIA,KORKU,727133
INDIA,KORWA,28453
INDIA,KOYA,407423
INDIA,KUI,941488
INDIA,KUKI,83968
INDIA,KURUKH/ORAON,1988350
INDIA,LADAKHI,14952
INDIA,LAHAULI,11574
INDIA,LAHNDA,108791
INDIA,LAKHER,42429
INDIA,LALUNG,33921
INDIA,LEPCHA,47331
INDIA,LIANGMEI,49811
INDIA,LIMBU,40835
INDIA,LOTHA,179467
INDIA,LUSHAI/MIZO,830846
INDIA,MALTO,234991
INDIA,MAO,240205
INDIA,MARAM,32460
INDIA,MARING,25814
INDIA,MIRI/MISHING,629954
INDIA,MISHMI,44100
INDIA,MOGH,36665
INDIA,MONPA,13703
INDIA,MUNDA,505922
INDIA,MUNDARI,1128228
INDIA,NICOBARESE,29099
INDIA,NISSI/DAFLA,406532
INDIA,NOCTE,30839
INDIA,PAITE,79507
INDIA,PARJI,52349
INDIA,PAWI,28639
INDIA,PHOM,54416
INDIA,POCHURY,21654
INDIA,RABHA,139986
INDIA,RAI,15644
INDIA,RENGMA,65328
INDIA,SANGTAM,76000
INDIA,SAVARA,409549
INDIA,SEMA,10802
INDIA,SHERPA,16012
INDIA,SHINA,32247
INDIA,TAMANG,20154
INDIA,TANGKHUL,187276
INDIA,TANGSA,38624
INDIA,THADO,229340
INDIA,TIBETAN,182685
INDIA,TRIPURI,1011294
INDIA,TULU,1846427
INDIA,VAIPHEI,42748
INDIA,WANCHO,59154
INDIA,YIMCHUNGRE,83259
INDIA,ZELIANG,63529
INDIA,ZEMI,50925
INDIA,ZOU,26545
INDIA,OTHERS,1875542
