movie_title,tomatometer_rating,audience_rating
Percy Jackson & the Olympians: The Lightning Thief,49,53
Please Give,86,64
10,68,53
12 Angry Men (Twelve Angry Men),100,97
"20,000 Leagues Under The Sea",89,74
"10,000 B.C.",8,37
The 39 Steps,96,86
3:10 to Yuma,96,78
Charly (A Heartbeat Away),20,87
Abraham Lincoln,90,38
Dark Water,80,66
The Accused,91,79
The Lost City,25,64
The Breaking Point,100,84
Adam's Rib,100,86
The Bridge of San Luis Rey,4,35
The Prowler (Cost of Living ),100,86
Criminal,69,57
The Adventures of Mark Twain,80,82
Deep Blue,67,80
The Adventures of Robin Hood,100,89
Man Hunt,92,75
Dead End,75,60
Bandwagon,80,91
Whore,0,63
Tristan & Isolde,31,71
Wild Side,63,80
Running Scared,41,79
Going the Distance,0,61
Ultraviolet,8,30
Home of the Brave,93,48
Arthur and the Invisibles (Arthur and the Minimoys),22,56
Malevolence,33,83
Eternal,21,40
A Farewell To Arms,0,36
The Narrow Margin,100,88
The Matador,75,65
Smile,15,66
The Intruder (L'Intrus),86,73
Saint Ralph,64,85
The Baxter,32,75
Oliver Twist,60,63
The Alamo,50,63
G,24,60
Alexander the Great,0,42
Alfie,96,77
Neverwas,14,65
The Second Chance,40,78
Moonlight,60,67
Aliens,99,94
Rise: Blood Hunter,36,20
All About Eve,100,94
When Do We Eat?,42,68
The Mostly Unfabulous Social Life of Ethan Green,27,58
Dirty,21,42
Stay Alive,9,55
All of Me,92,67
All Quiet on the Western Front,100,70
Dreamland,67,65
Independent Lens,84,84
All the King's Men,97,78
Street Fight,100,93
The Motel,87,64
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,81,80
Requiem,86,66
Gui si (Silk),40,58
Park,36,48
The 4th Dimension,63,31
"Bon Cop, Bad Cop",78,82
Amazing Grace,68,85
The Silence,50,38
Cocaine Cowboys,69,79
Gone,54,20
The Situation,35,58
Four Sheets to the Wind,100,61
The Tiger's Tail,14,31
It's a Boy Girl Thing,67,61
Slipstream,25,29
Delirious,82,57
Interview,58,55
American Anthem,0,65
The Ten,36,40
The Happening,18,24
Molière,69,79
Straightheads (Closure),40,33
Borderland,100,43
Spiral,55,59
Alexandra,88,69
Blood and Tears: The Arab-Israeli Conflict,50,33
The Cool School,92,63
Pathology,45,39
Disney's A Christmas Carol,53,58
Deep Water,96,87
Road to Victory,75,78
Beverly Hills Chihuahua,40,52
Fireflies in the Garden,22,45
The Eye,22,43
Day of the Dead,13,22
My Best Friend's Girl,14,46
The Burrowers,73,33
The Midnight Meat Train,72,50
The Lucky Ones,37,54
Run Fatboy Run,46,64
Closing Escrow,54,36
Whiteout,7,21
Randy and the Mob,56,38
Black Irish,31,58
Wild Child,41,61
Powder Blue,25,40
King Corn,96,78
L' Avocat de la Terreur (Terror's Advocate),87,67
Darfur Now,73,73
Laaga Chunari Mein Daag - Journey of a Woman,50,58
Rails & Ties,34,58
